index,times,rains,waterlevels
2023/7/10 21:00,710.21,0.5,236.07
2023/7/10 20:00,710.2,0,236.06
2023/7/10 19:00,710.19,0,236.06
2023/7/10 18:00,710.18,0.5,236.06
2023/7/10 17:00,710.17,0.5,236.06
2023/7/10 16:00,710.16,0,236.06
2023/7/10 15:00,710.15,0,236.05
2023/7/10 14:00,710.14,0,236.05
2023/7/10 13:00,710.13,0,236.05
2023/7/10 12:00,710.12,0.5,236.06
2023/7/10 11:00,710.11,1,236.06
2023/7/10 10:00,710.1,0.5,236.21
2023/7/10 9:00,710.09,1.5,236.13
2023/7/10 8:00,710.08,1,236.09
2023/7/10 7:00,710.07,0.5,236.07
2023/7/10 6:00,710.06,0,236.06
2023/7/10 5:00,710.05,0,236.06
2023/7/10 4:00,710.04,0.5,236.06
2023/7/10 3:00,710.03,0,236.06
2023/7/10 2:00,710.02,0.5,236.06
2023/7/10 1:00,710.01,0,236.06
2023/7/10 0:00,710,1,236.19
2023/7/9 23:00,709.23,0,236.21
2023/7/9 22:00,709.22,0,236.13
2023/7/9 21:00,709.21,0,236.09
2023/7/9 20:00,709.2,0.5,236.07
2023/7/9 19:00,709.19,0,236.07
2023/7/9 18:00,709.18,0,236.07
2023/7/9 17:00,709.17,0,236.24
2023/7/9 16:00,709.16,0.5,236.18
2023/7/9 15:00,709.15,0,236.11
2023/7/9 14:00,709.14,0,236.08
2023/7/9 13:00,709.13,0,236.08
2023/7/9 12:00,709.12,0,236.08
2023/7/9 11:00,709.11,0.5,236.1
2023/7/9 10:00,709.1,0,236.22
2023/7/9 9:00,709.09,0,236.22
2023/7/9 8:00,709.08,0,236.19
2023/7/9 7:00,709.07,0,236.12
2023/7/9 6:00,709.06,0,236.09
2023/7/9 5:00,709.05,0,236.09
2023/7/9 4:00,709.04,0,236.23
2023/7/9 3:00,709.03,0,236.21
2023/7/9 2:00,709.02,0,236.12
2023/7/9 1:00,709.01,0,236.09
2023/7/9 0:00,709,0,236.22
2023/7/8 23:00,708.23,0,236.25
2023/7/8 22:00,708.22,0,236.16
2023/7/8 21:00,708.21,0,236.1
2023/7/8 20:00,708.2,0,236.09
2023/7/8 19:00,708.19,0,236.09
2023/7/8 18:00,708.18,0,236.19
2023/7/8 17:00,708.17,0,236.19
2023/7/8 16:00,708.16,0,236.19
2023/7/8 15:00,708.15,0,236.18
2023/7/8 14:00,708.14,0,236.17
2023/7/8 13:00,708.13,0,236.18
2023/7/8 12:00,708.12,0,236.11
2023/7/8 11:00,708.11,0,236.24
2023/7/8 10:00,708.1,0,236.23
2023/7/8 9:00,708.09,0,236.2
2023/7/8 8:00,708.08,0,236.12
2023/7/8 7:00,708.07,0,236.09
2023/7/8 6:00,708.06,0,236.08
2023/7/8 5:00,708.05,0,236.22
2023/7/8 4:00,708.04,0,236.23
2023/7/8 3:00,708.03,0,236.18
2023/7/8 2:00,708.02,0,236.11
2023/7/8 1:00,708.01,0,236.09
2023/7/8 0:00,708,0,236.2
2023/7/7 23:00,707.23,0,236.2
2023/7/7 22:00,707.22,0.5,236.18
2023/7/7 21:00,707.21,0,236.11
2023/7/7 20:00,707.2,2,236.09
2023/7/7 19:00,707.19,0.5,236.08
2023/7/7 18:00,707.18,0,236.19
2023/7/7 17:00,707.17,0,236.19
